"State","Year","Solar_quantity","Solar_Output_kW","Hydro_quantity","Hydro_Output_kW","Wind_quantity","Wind_Output_kW","Total_quantity","Total_output_kW","CO2e emissions (tonnes per capita)"
"ACT","2010",3482,7036.413,0,0,1,5,3483,7041.413,3.978056882
"ACT","2011",10350,24261.865,0,0,1,5,10351,24266.865,3.729826785
"ACT","2012",11876,29295.225,0,0,1,5,11877,29300.225,3.719104559
"ACT","2013",14289,40079.03,0,0,1,5,14290,40084.03,3.541718288
"ACT","2014",15521,44975.312,0,0,1,5,15522,44980.312,3.606000307
"ACT","2015",16590,50706.698,0,0,1,5,16591,50711.698,3.679888303
"ACT","2016",17593,57611.13,0,0,1,5,17594,57616.13,3.382856512
"ACT","2017",19548,69973.355,0,0,1,5,19549,69978.355,3.176262773
"NSW","2010",88550,179092.635,2,5.9,131,753.1,88683,179851.635,20.78851709
"NSW","2011",168772,374251.227,2,5.9,166,1037.1,168940,375294.227,20.88433186
"NSW","2012",222689,518840.662,2,5.9,168,1052.1,222859,519898.662,20.55523
"NSW","2013",256622,652252.275,2,5.9,168,1052.1,256792,653310.275,19.0952626
"NSW","2014",293780,824216.341,2,5.9,169,1057.2,293951,825279.441,18.74327727
"NSW","2015",327224,1000627.211,2,5.9,169,1057.2,327395,1001690.311,17.68878253
"NSW","2016",356695,1167281.871,2,5.9,169,1057.2,356866,1168344.971,17.13453221
"NSW","2017",399908,1429882.577,2,5.9,172,1063.8,400082,1430952.277,16.70928609
"NT","2010",1083,3089.191,0,0,0,0,1083,3089.191,64.96841151
"NT","2011",1484,4892.675,0,0,0,0,1484,4892.675,56.91774739
"NT","2012",1997,7185.502,0,0,0,0,1997,7185.502,50.76567369
"NT","2013",3021,12231.347,0,0,0,0,3021,12231.347,58.60923466
"NT","2014",4047,18351.779,1,4,0,0,4048,18355.779,52.42655523
"NT","2015",5243,26988.182,1,4,0,0,5244,26992.182,49.80347236
"NT","2016",6988,39686.119,1,4,0,0,6989,39690.119,61.21172071
"NT","2017",8938,55130.844,1,4,0,0,8939,55134.844,66.90967526
"QLD","2010",71658,123137.683,2,2,40,27.05,71700,123166.733,38.8976762
"QLD","2011",166961,348330.984,2,2,40,27.05,167003,348360.034,35.67414152
"QLD","2012",297218,766736.237,2,2,42,30.05,297262,766768.287,35.76816099
"QLD","2013",368426,1035608.06,2,2,42,30.05,368470,1035640.11,34.3523278
"QLD","2014",426175,1284400.742,2,2,42,30.05,426219,1284432.792,32.98669833
"QLD","2015",465685,1477161.584,2,2,42,30.05,465729,1477193.634,33.08322758
"QLD","2016",500112,1676693.785,2,2,42,30.05,500156,1676725.835,32.64874315
"QLD","2017",546566,1983376.588,2,2,43,31.55,546611,1983410.138,32.77810578
"SA","2010",31238,54494.226,1,1.5,62,80.55,31301,54576.276,16.07568882
"SA","2011",94791,218018.717,1,1.5,63,82.55,94855,218102.767,14.60450126
"SA","2012",136642,356059.266,1,1.5,63,82.55,136706,356143.316,15.73557384
"SA","2013",165829,497460.081,1,1.5,63,82.55,165893,497544.131,15.70992144
"SA","2014",180995,579995.125,1,1.5,63,82.55,181059,580079.175,17.08915603
"SA","2015",193076,646638.401,1,1.5,65,92.75,193142,646732.651,16.30692444
"SA","2016",205680,724311.175,1,1.5,66,97.85,205747,724410.525,14.04385737
"SA","2017",221870,839655.537,1,1.5,69,103.95,221940,839760.987,12.81183598
"TAS","2010",3571,5051.199,1,1.9,26,68.55,3598,5121.649,25.70678296
"TAS","2011",6046,10963.607,2,6.9,26,68.55,6074,11039.057,22.00027588
"TAS","2012",12410,31222.601,4,7.88,26,68.55,12440,31299.031,7.160946154
"TAS","2013",20068,62724.701,6,19.88,26,68.55,20100,62813.131,2.084805253
"TAS","2014",24275,81682.649,6,19.88,26,68.55,24307,81771.079,1.576636283
"TAS","2015",26295,91208.954,6,19.88,26,68.55,26327,91297.384,0.334387059
"TAS","2016",28782,103053.476,6,19.88,26,68.55,28814,103141.906,-0.640007715
"TAS","2017",31175,117640.319,6,19.88,26,68.55,31207,117728.749,1.662252836
"VIC","2010",47721,74175.361,5,3.75,34,41.98,47760,74221.091,24.29237677
"VIC","2011",107977,214584.898,5,3.75,39,48.6,108021,214637.248,24.27188087
"VIC","2012",174216,422168.723,5,3.75,39,48.6,174260,422221.073,22.50049338
"VIC","2013",207600,553783.359,5,3.75,42,59.6,207647,553846.709,19.87226706
"VIC","2014",247705,725483.148,5,3.75,52,78.8,247762,725565.698,19.34438186
"VIC","2015",279078,875458.291,5,3.75,62,98.2,279145,875560.241,19.28060015
"VIC","2016",305819,1019922.06,5,3.75,71,118.9,305895,1020044.71,18.03386354
"VIC","2017",337230,1225561.747,5,3.75,74,126.45,337309,1225691.947,17.44794226
"WA","2010",36004,60447.186,1,1.075,31,53.42,36036,60501.681,33.57497026
"WA","2011",87671,183460.277,1,1.075,34,56.42,87706,183517.772,30.64081116
"WA","2012",130324,283006.321,1,1.075,38,65.17,130363,283072.566,30.50584046
"WA","2013",151924,352564.668,1,1.075,38,65.17,151963,352630.913,31.36338811
"WA","2014",175420,447859.726,1,1.075,38,65.17,175459,447925.971,30.89587641
"WA","2015",196217,544100.096,1,1.075,38,65.17,196256,544166.341,31.57593815
"WA","2016",220416,672148.653,1,1.075,38,65.17,220455,672214.898,33.65486474
"WA","2017",251820,858665.031,1,1.075,38,65.17,251859,858731.276,34.38648893
